又是烂三元？
不是说不可以超前点播了吗
孙兴不会是杨东吧
买了会员，为啥还要超前点播？还需要花钱买？
27，28，怎么还不能看
打项天终于又看见当年的刘华强啦😄
其实大江是个好人
考申论就为了说这些场面话么
终于看到刘老师演正牌角色
还超前点播烦死了
胡所长演的好
充会员，充了个寂寞
国家没收拾腾讯视频啊？还有超前点播？
Vip还要另外花钱，真是不要脸
太好看了，
槟榔很危险！吃了也戒掉！已经有人吃得半个脸没了！！！！新闻还在！别再吃了！#扫黑风暴#
腾讯视频太不要脸了，来了vip还收费点播，我呸！
请问啥时候更新27#28集？
太棒了！！！
做卧底吗？孙漂亮？
腾讯这个广告，有点过分了
帅，爱死这男人了
这广告做的太明显了
孙兴成天都是挨打的
还有小司藤😁😁😁
海总这一口武汉话听的好别扭😓
这后配音质。。。
嘤嘤嘤
孙兴下场是哪集\n林警官的高光时刻是哪集
谭凯演的董耀要下线啦?
都是上了督导组黑名单的干部，看了后面才明白督导组成员的眼神
广告
左下角工作人员你剧本还搁裤兜里呢\n哈哈哈哈哈哈
评分这么高？看看看看
墙上的IG是是伏笔吗
高赫（孙兴)原名，高明远贺云姓氏就叫高贺能不能是他俩儿子呢。
同志们，快结尾了。谁能说出除了自嗨锅和沃隆坚果，本剧还有啥植入广告？
原本以为VIP，观新又得花3元，何为？
不是一家人不进一家门，这两姐弟简直愚蠢到机点
那个台放的？
。。。
第二次在被骗的话，大哥的女人就不配当了
刘华强跟吴天还是谈和了
化的妆真难看
我这脑子看这剧费脑细胞
第十集
平凡的世界路很遥远……
大道理太多了，阳哥，
河豚是谁啊
这剧好看嘛？
吃相太难看，这个超前点播
黄希思思这段太扯了吧！
😂😂😂
这部剧太好看了，赞赞赞
何队长的上司又不是马帅，叫什么马总，还是在牢房，不应该直呼姓名！！！
广告真好，直接播放广告
绝了，用漏洞去推进剧情发展，还网评这么高，收智商税吗
很上头，不错，追剧追剧
这部剧真心推荐，看的过瘾
孙红雷又来本色演出了，哈哈
这部电视剧真心不错哦，仔细观看
这部影片演技特别好，推荐去看
孙兴给贺芸的花是洋桔梗，花语是不变的爱只给你😅我看是不变的麻烦只让你擦屁股吧
帅啊，演的太好了，喜欢😍
真心不错，演技真好
这部剧真心不错，看得停不下来
#扫黑风暴#一直在追太好看了，超前点播实力不允许所以决定从今天开始不看了😭一直到剧终一次把剧看完想想就很开心✊👊
醉了，也太假了吧，好歹搞个警车牌照，拿驾校车牌当警车了
垃圾，超前点播。,想看也不看了。
我越来越喜欢这个胡所了哈哈哈哈
超前点播真的烦人，明明写的27-28是点播，现在23开始就不能看
腾讯广告好多啊,还不能跳过
为什么没更新
VIP还插广告！,无良啊！
买了会员为啥还要三块钱点播费
大概多久能看完26集啊hxd们,我9.1开学了
好看吗？
就是不用美团，也不会用移动的卡
超前点播还没取消啊
看到现在才看明白，公安局长居然和高明远有个儿子
吴越的演技真的没话说
腾讯广告太多了
演员阵容强大呀
烂片子多了，有点成就的片子就上天了，还要一集一集的收费。
这种片子都要收钱才能看，只能说我们国家没几部好片子。老片子多了，有一部稍微有点成就的片子都上天了
真特么狠，杀人父母玩人闺女！
电视来源生活，高于生活
那个那个什么耀的是不是整容了还是怎么了？脸有点变形啦
那个城市在上演现实版的扫黑风暴？
好看
四十多分钟的电视剧，放三段广告，真够恶心人的
像唱歌的孙悦，那个红姐
打的王者荣耀，玩的李元芳。哈哈哈
大江下了？
一个地下妈妈孩子的痛苦
孙红雷总莫名其妙笑的太尴尬了
#麦佳为何对高明远死心塌地#
此片最大败笔，张艺兴
扫黑风暴，总共有多少集？
真不知道最后她知道了是和她同床共枕的男人杀的，她会怎么样
这个女人也就是个婊子
杀人父母，玷污子女，永世不得超生
这个高明远就是个畜牲
从市政府接人走，能直接弄死吗？
这个叫吴越的，这脸咋怎么衰？扫把星呀！
怎么回事？咋么看不了
高总也承认罪行太快了吧，不够刺激
我已批量解锁，交费了，为什么放不出
这app蛮不要脸
8.30你们开学了吗
这超前点播怎么还有？
这广告不是一般的恶心啊
孙红雷呀！！求你了，你能不能别再像个傻子似的行不行？？？？当个正常人不行吗？？吭哧瘪肚的，你那个眼睛要是有病就去治治！！别一天天总卡么卡么的行吗？？
腾讯视频越来越扯淡了，VIP还不行，又出了个超前播放，变着法的赚钱😡😡😡
其实
剧透的闭嘴吧
捂着，一直别放
剩下两集不放了吗？
会员更新也这么费劲吗？
18集以后大戏才刚刚上演
可能因为我看过扫黑决战这部电影吧，个人认为金世佳演的孙志彪比较深入人心，衣冠禽兽的感觉比较起来略胜一筹，没有踩一捧一的意思，都是孙小果的原型嘛，所以也没有谁演得好谁演的不好一说，个人可能也是先入为主了吧
有没有人觉得贺局有问题
说实话这个饮料广告挺浪费水的😤
原剧是什么？
每月都买了会员！还要超前点映！老百姓的钱不是大风刮来的！看点电视剧都不容易！
看到第13集了，怎么觉得何对有问题呢
其实真的是烂片
都上新闻了，还超前点播，我们出钱开会员的起毛用，捆绑消费还不能跳级，老子花钱想看那就应该看那#扫黑超点观影楼#
我认为腾讯的会员就是充了个寂寞
王政呢？结局咋没有
垃圾，会员还要再付钱看，哈哈
是狗粮
大boss不出来个中央的，都对不起前面这么多铺垫
怎么更新这么慢啊
后边怎么看不了了
这广告真麻烦
怎么觉得贺云是坏人呢？
大嫂好看
😂
电视剧里很多场地都是在长沙啊，在长沙拍的啊
对于超前点播我觉得消费自由，我是肯定不会买着看，反正会更新
不是说超前点播取消了，为什么还有，
怎么可以这么演呢？这个口子不应该是一个小小的记者来捅破
这个VIP有毛用，还不是3元又3元
会员还要付费，无耻至极
你们是有多坑啊，会员还要提前解锁才能看，三元不多，可你们真坑
28集
超前点播被点名了,怎么敢还有
怎么不更新啊。要付款可以说啊
怎么还不更新、到23集了
超前点播，吃相难看。
第一次花钱看的电视剧
不用点播了吗？
孙红雷演技真差，每次莫名其妙就开笑，看的人出戏。他只能演黑社会，张的就是一副黑社会样子，演正牌他演不了
弄他！
你表演的太好了
垃圾腾讯骗子，骗钱
这个老资本是真的牛这么点名批评这个超级点播就是不下架，吃相真的难看。
不要碰贷款。
李成阳不是10年前被冤枉清出警队的吗？怎么报告是04年
