0,1375
1,791
2,543
3,311
4,163
5,151
6,232
7,354
8,540
9,762
10,905
11,959
12,1273
13,978
14,874
15,838
16,850
17,905
18,875
19,1200
20,7117
21,2907
22,2798
23,2299
